x_c,y_c,Ri,rho,u,v,p,T
-0.248037,0.290415,0,0.116124,208.331,0,10000,300
-0.241458,0.295907,0,0.116124,208.331,0,10000,300
-0.234758,0.30125,0,0.116124,208.331,0,10000,300
-0.227939,0.306442,0,0.116124,208.331,0,10000,300
-0.221006,0.311479,0,0.116124,208.331,0,10000,300
-0.213961,0.31636,0,0.116124,208.331,0,10000,300
-0.206809,0.321081,0,0.116124,208.331,0,10000,300
-0.199553,0.32564,0,0.116124,208.331,0,10000,300
-0.192196,0.330036,0,0.116124,208.331,0,10000,300
-0.184742,0.334265,0,0.116124,208.331,0,10000,300
-0.177195,0.338327,0,0.116124,208.331,0,10000,300
-0.169559,0.342217,0,0.116124,208.331,0,10000,300
-0.161838,0.345936,0,0.116124,208.331,0,10000,300
-0.154035,0.34948,0,0.116124,208.331,0,10000,300
-0.146154,0.352848,0,0.116124,208.331,0,10000,300
-0.1382,0.356039,0,0.116124,208.331,0,10000,300
-0.130177,0.35905,0,0.116124,208.331,0,10000,300
-0.122087,0.36188,0,0.116124,208.331,0,10000,300
-0.113937,0.364529,0,0.116124,208.331,0,10000,300
-0.105729,0.366994,0,0.116124,208.331,0,10000,300
-0.0974678,0.369273,0,0.116124,208.331,0,10000,300
-0.0891573,0.371368,0,0.116124,208.331,0,10000,300
-0.0808023,0.373275,0,0.116124,208.331,0,10000,300
-0.0724064,0.374994,0,0.116124,208.331,0,10000,300
-0.063974,0.376524,0,0.116124,208.331,0,10000,300
-0.0555094,0.377864,0,0.116124,208.331,0,10000,300
-0.0470169,0.379015,0,0.116124,208.331,0,10000,300
-0.0385007,0.379975,0,0.116124,208.331,0,10000,300
-0.0299651,0.380743,0,0.116124,208.331,0,10000,300
-0.0214144,0.381319,0,0.116124,208.331,0,10000,300
-0.012853,0.381704,0,0.116124,208.331,0,10000,300
-0.00428504,0.381896,0,0.116124,208.331,0,10000,300
-0.318246,0.00357087,0,0.116124,208.331,0,10000,300
-0.318086,0.0107108,0,0.116124,208.331,0,10000,300
-0.317766,0.0178453,0,0.116124,208.331,0,10000,300
-0.317285,0.0249709,0,0.116124,208.331,0,10000,300
-0.316645,0.0320839,0,0.116124,208.331,0,10000,300
-0.315846,0.0391807,0,0.116124,208.331,0,10000,300
-0.314887,0.0462578,0,0.116124,208.331,0,10000,300
-0.31377,0.0533116,0,0.116124,208.331,0,10000,300
-0.312495,0.0603386,0,0.116124,208.331,0,10000,300
-0.311062,0.0673352,0,0.116124,208.331,0,10000,300
-0.309473,0.0742978,0,0.116124,208.331,0,10000,300
-0.307728,0.0812231,0,0.116124,208.331,0,10000,300
-0.305828,0.0881075,0,0.116124,208.331,0,10000,300
-0.303774,0.0949474,0,0.116124,208.331,0,10000,300
-0.301567,0.10174,0,0.116124,208.331,0,10000,300
-0.299208,0.108481,0,0.116124,208.331,0,10000,300
-0.296699,0.115167,0,0.116124,208.331,0,10000,300
-0.29404,0.121795,0,0.116124,208.331,0,10000,300
-0.291233,0.128362,0,0.116124,208.331,0,10000,300
-0.288279,0.134865,0,0.116124,208.331,0,10000,300
-0.285181,0.141299,0,0.116124,208.331,0,10000,300
-0.281938,0.147663,0,0.116124,208.331,0,10000,300
-0.278554,0.153952,0,0.116124,208.331,0,10000,300
-0.27503,0.160163,0,0.116124,208.331,0,10000,300
-0.271367,0.166294,0,0.116124,208.331,0,10000,300
-0.267567,0.172341,0,0.116124,208.331,0,10000,300
-0.263633,0.178301,0,0.116124,208.331,0,10000,300
-0.259566,0.184172,0,0.116124,208.331,0,10000,300
-0.255368,0.189949,0,0.116124,208.331,0,10000,300
-0.251042,0.195631,0,0.116124,208.331,0,10000,300
-0.246589,0.201215,0,0.116124,208.331,0,10000,300
-0.242012,0.206697,0,0.116124,208.331,0,10000,300
-0.237313,0.212076,0,0.116124,208.331,0,10000,300
-0.232495,0.217347,0,0.116124,208.331,0,10000,300
-0.227559,0.222509,0,0.116124,208.331,0,10000,300
-0.222509,0.227559,0,0.116124,208.331,0,10000,300
-0.217347,0.232495,0,0.116124,208.331,0,10000,300
-0.212076,0.237313,0,0.116124,208.331,0,10000,300
-0.206697,0.242012,0,0.116124,208.331,0,10000,300
-0.201215,0.246589,0,0.116124,208.331,0,10000,300
-0.195632,0.251042,0,0.116124,208.331,0,10000,300
-0.189949,0.255368,0,0.116124,208.331,0,10000,300
-0.184171,0.259566,0,0.116124,208.331,0,10000,300
-0.178301,0.263633,0,0.116124,208.331,0,10000,300
-0.172341,0.267567,0,0.116124,208.331,0,10000,300
-0.166294,0.271367,0,0.116124,208.331,0,10000,300
-0.160163,0.27503,0,0.116124,208.331,0,10000,300
-0.153952,0.278554,0,0.116124,208.331,0,10000,300
-0.147663,0.281938,0,0.116124,208.331,0,10000,300
-0.141299,0.285181,0,0.116124,208.331,0,10000,300
-0.134865,0.28828,0,0.116124,208.331,0,10000,300
-0.128362,0.291233,0,0.116124,208.331,0,10000,300
-0.121795,0.29404,0,0.116124,208.331,0,10000,300
-0.115167,0.296699,0,0.116124,208.331,0,10000,300
-0.108481,0.299208,0,0.116124,208.331,0,10000,300
-0.10174,0.301567,0,0.116124,208.331,0,10000,300
-0.0949474,0.303774,0,0.116124,208.331,0,10000,300
-0.0881075,0.305828,0,0.116124,208.331,0,10000,300
-0.0812231,0.307728,0,0.116124,208.331,0,10000,300
-0.0742978,0.309473,0,0.116124,208.331,0,10000,300
-0.0673352,0.311062,0,0.116124,208.331,0,10000,300
-0.0603386,0.312495,0,0.116124,208.331,0,10000,300
-0.0533116,0.31377,0,0.116124,208.331,0,10000,300
-0.0462578,0.314887,0,0.116124,208.331,0,10000,300
-0.0391807,0.315846,0,0.116124,208.331,0,10000,300
-0.0320839,0.316645,0,0.116124,208.331,0,10000,300
-0.0249709,0.317285,0,0.116124,208.331,0,10000,300
-0.0178453,0.317766,0,0.116124,208.331,0,10000,300
-0.0107108,0.318086,0,0.116124,208.331,0,10000,300
-0.00357087,0.318246,0,0.116124,208.331,0,10000,300
-0.265205,0.00297572,0,0.116124,208.331,0,10000,300
-0.265072,0.00892567,0,0.116124,208.331,0,10000,300
-0.264805,0.0148711,0,0.116124,208.331,0,10000,300
-0.264404,0.0208091,0,0.116124,208.331,0,10000,300
-0.263871,0.0267365,0,0.116124,208.331,0,10000,300
-0.263205,0.0326506,0,0.116124,208.331,0,10000,300
-0.262406,0.0385482,0,0.116124,208.331,0,10000,300
-0.261474,0.0444263,0,0.116124,208.331,0,10000,300
-0.260412,0.0502821,0,0.116124,208.331,0,10000,300
-0.259218,0.0561126,0,0.116124,208.331,0,10000,300
-0.257894,0.0619148,0,0.116124,208.331,0,10000,300
-0.25644,0.0676858,0,0.116124,208.331,0,10000,300
-0.254856,0.0734228,0,0.116124,208.331,0,10000,300
-0.253144,0.0791228,0,0.116124,208.331,0,10000,300
